URL,Pavadinimas,Aprašymas,Telefonas,Svetainė,El. paštas,Adresas,Trumpas aprašymas,Šalis
https://www.trustedshops.de/bewertung/info_X0BF3E5A975E5FAC3FCDA6F884D2988E0.html,edv-buchversand.de,"Software verkaufen viele.... Allerdings die wenigsten betreuen Sie persönlich VOR, BEIM aber am wichtigsten NACH dem Kauf. Mein Team hat seit über 30 Jahren ein umfangreiches Expertenwissen mit regelmäßigen Schulungen und Kundenkontakten aufgebaut, und steht Ihnen telefonisch und per Mail jederzeit zur Verfügung.. Ihre Bewertungen sind unser täglicher Ansporn.",+492191991100,http://www.edv-buchversand.de,hallo@edv-buchversand.de,EDV-BUCHVERSAND Delf Michel e.K. An der Hasenjagd 4 42897 Remscheid Deutschland,"Software verkaufen viele.... Allerdings die wenigsten betreuen Sie persönlich VOR, BE",de
https://www.trustedshops.de/bewertung/info_XDFE21E7DDD4FB22E10C77D19F887E411.html,MEINFOTO,"Bei Meinfoto.de gestaltest du deine schönsten Erinnerungen auf hochwertige Weise. Egal ob ein Foto auf Leinwand, individuell gestaltete Poster drucken oder ein persönliches Fotobuch erstellen – hier findest du alles für deine kreativen Ideen. Du kannst auch Tassen bedrucken oder ein gemütliches Fotokissen gestalten. Mit modernsten Drucktechnologien und nachhaltigen Materialien sorgt Meinfoto.de dafür, dass deine Fotoprodukte in bester Qualität bei dir ankommen. Einfach Fotos bestellen und direkt nach Hause liefern lassen!",+4922159988027,http://www.meinfoto.de,info@meinfoto.de,United Arts GmbH Hohenzollernring 25 50672 Köln Deutschland,Bei Meinfoto.de gestaltest du deine schönsten Erinnerungen auf hochwertige Weise. Ega,de
https://www.trustedshops.de/bewertung/info_X8E9EAFD7E40A46630552D4A3F123CA67.html,Bergfreunde.de,"Bergfreunde.de ist der Ausrüster für Outdoorsport wie Klettern, Eisklettern, Wandern, Bouldern oder Yoga: Bekleidung, Schlafsäcke, Rucksäcke, Zelte, Klettergurte, Seile, Crashpads, Eispickel, Schneeschuhe, Gaskocher und vieles mehr.",+49712170120,http://www.bergfreunde.de,info@bergfreunde.de,Bergfreunde GmbH Bahnhofstraße 26 72138 Kirchentellinsfurt Deutschland,"Bergfreunde.de ist der Ausrüster für Outdoorsport wie Klettern, Eisklettern, Wandern,",de
https://www.trustedshops.de/bewertung/info_X1E695010BCFDF000283DB763728BE71B.html,Maschenfein,"Im Maschenfeinshop finden Sie das umfangreichste Sortiment an Strick-Kits im deutschsprachigen Raum. Zahlreiche Strickanleitungen und Wollpakete für Pullover, Strickjacken, Tücher, Schals und vieles mehr in allen Größen für Damen, Herren und Kinder machen Lust auf Stricken. Lassen Sie sich beim Stöbern durch die Seiten auf www.maschenfein.de und den schönen Blog inspirieren. Eine große und stetig wachsende Stammkundschaft tauscht sich auch in der Maschenfein Community auf Instagram und Facebook aus. Service wird bei Maschen ganz groß geschrieben, so wird hier online ausführlich beraten, damit Sie zu ihrem Traumprojekt finden, das garantiert nicht geribbelt werden muss.",+491632617146,http://www.maschenfein.de,hallo@maschenfein.de,Maschenfein GmbH Nostitzstraße 23 10961 Berlin Deutschland,Im Maschenfeinshop finden Sie das umfangreichste Sortiment an Strick-Kits im deutschs,de
https://www.trustedshops.de/bewertung/info_XCC56B1E1AD0AF5961A229D1E45BA1F18.html,Berliner Zinnfiguren,"Der Spezialladen für Zinnfiguren, Modellbau und militärgeschichtliche Fachbücher im Zentrum von Berlin. Dort finden Sie alle namhaften Hersteller im Figuren- und Plastikmodellbau, eine riesige Auswahl an Farben, Pinseln und Zubehör, über 20.000 Fachbücher zur Militärgeschichte und Modellbau. Viele Waren sind sofort verfügbar. Unter anderem im Sortiment: Academy, Trumpeter, Tamiya, Revell, Pegaso Models, Metal Modeles, MENG, Italeri, ICM, Hobby Boss, Eduard, Dragon Models, First Legion, Britain, King & Country, Schiffer Books, Zeughaus Verlag, Motorbuch ... Besuchen Sie auch das Ladengeschäft im Zentrum von Berlin, nahe dem Ku-Damm.",+49303157000,http://zinnfigur.com,mueller@zinnfigur.com,Berliner Zinnfiguren Werner Scholtz e.K. Knesebeckstr. 88 10623 Berlin Deutschland,"Der Spezialladen für Zinnfiguren, Modellbau und militärgeschichtliche Fachbücher im Z",de
https://www.trustedshops.de/bewertung/info_X1A5B12EFC64AC6014138F2D1026431AC.html,kinderbuch.eu,"Bei kinderbuch.eu finden Sie Kinderbücher, Spiele und Geschenkideen zu sensationellen Preisen! Entdecken Sie eine Riesenauswahl an Restauflagen und Mängelexemplaren mit bis zu 80% Ersparnis! Bilderbücher, Pappbilderbücher, Bücher zum Lesenlernen, Beschäftigungsbücher, Lern- und Übungsblöcke, Bücher für Erstleser und Leseprofis, Hörbücher, Geschenkbücher und vieles mehr!",+4981398029159,http://kinderbuch.eu,info@kinderbuch.eu,BuchVertrieb Blank GmbH Röhrmooser Str. 16-20 85256 Vierkirchen Deutschland,"Bei kinderbuch.eu finden Sie Kinderbücher, Spiele und Geschenkideen zu sensationellen",de
https://www.trustedshops.de/bewertung/info_X4E4F3E1D5BB27476CCF772799B667B4D.html,buch24.de,"Portofrei Bücher bestellen ohne Mindestbestellwert! Nicht nur Bücherfans werden hier fündig. Mit weit über 3 Millionen Büchern, Hörbüchern, Kalendern und Filmen lässt das Sortiment keine Wünsche offen. 1,2 Millionen fremdsprachige Bücher zu attraktiven Preisen, viele davon sofort verfügbar. Bücher werden versandkostenfrei nach Hause geliefert.",+499119286970,http://www.buch24.de,mail@buch24.de,Buch24 GmbH Moltkestr. 1 90429 Nürnberg Deutschland,Portofrei Bücher bestellen ohne Mindestbestellwert! Nicht nur Bücherfans werden hier ,de
https://www.trustedshops.de/bewertung/info_X9780E98D167B6BA34F80D50738715136.html,Enjoyyourcamera.com,"Enjoyyourcamera.com ist Ihr Versandhaus für Spezial-Fotozubehör, Kamerazubehör, Studio-Zubehör. Hier finden Sie zum Beispiel Fototaschen, Akkus und Batterien, Digitalkamerazubehör, Blitzgeräte, Filter, Stative, Objektive und Speichermedien von den Marken JJC, KT, Marumi, Matin, Mennon, Nissin, Ownuser, Pedco, Seculine und VisibleDust.",+4951120029090,http://www.enjoyyourcamera.com,shop@enjoyyourcamera.com,ENJOYYOURBRANDS GmbH Eleonorenstr. 20 30449 Hannover Deutschland,"Enjoyyourcamera.com ist Ihr Versandhaus für Spezial-Fotozubehör, Kamerazubehör, Studi",de
https://www.trustedshops.de/bewertung/info_X8E01F74A35CDA8DCA33539B4EB96344A.html,gerstaecker.de,"Die Johannes Gerstäcker Verlags GmbH, kurz Gerstaecker, ist ein Versandhandel für Künstlerbedarf, Ateliereinrichtung, Einrahmung und Kunstfachbüchern in Deutschland, England, Frankreich, Österreich, Italien, den Niederlanden und der Schweiz. 1953 wurde der Johannes Gerstaecker Verlag gegründet. Anfang der 1950er Jahre spezialisierte sich der Firmengründer Johannes Gerstäcker zunächst auf die Produktion und den Vertrieb von pädagogischen Kunstspielen für Kinder im Grundschulalter. Wenig später wurde eine erste Vertriebsstruktur für den Versandhandel aufgebaut und weitere Produkte ins Sortiment aufgenommen. Bis heute ist z. B. Speckstein ein vielgenutztes Gestaltungsmittel in Schulen und therapeutischen Einrichtungen. Die ersten Kataloge erschienen Anfang der 1960er Jahre und Michael Gerstäcker († 24. August 2022), Sohn des Firmengründers, baute ein zweites Lager direkt am Güterbahnhof von Eitorf. 1991 eröffnete er gemeinsam mit seinem Bruder Christian im Gewerbegebiet von Eitorf den neuen Firmensitz. 1999 expandierte Gerstaecker und die französische Filiale Le Géant des Beaux-Arts in Saverne im Nordelsass wurde gegründet. Anfang 2002 kam die englische Tochter GreatArt hinzu, die in Alton, eine Stunde südwestlich von London, ihren Sitz hat. Im gleichen Jahr wurde in Eitorf unmittelbar neben dem neuen Logistikzentrum der Künstlerfachmarkt eröffnet. Weitere Niederlassungen in Deutschland, der Schweiz, Österreich, Italien und den Niederlanden folgten.",+49224388995,http://www.gerstaecker.de,info@gerstaecker.com,Johannes Gerstäcker Verlag GmbH Wecostraße 4 53783 Eitorf Deutschland,"Die Johannes Gerstäcker Verlags GmbH, kurz Gerstaecker, ist ein Versandhandel für Kün",de
https://www.trustedshops.de/bewertung/info_X2D858E9311ADBCFE65B06C137017A969.html,eBook.de,"eBook.de, eine Marke der Hugendubel Digital GmbH & Co. KG, zählt seit 1999 zu den führenden eCommerce-Marken im Buch- und Medienbereich und ist seit Oktober 2014 Mitglied der tolino-Allianz. Als Pionier im stark wachsenden eBook-Business revolutioniert eBook.de die Buchwelt. Entdecken Sie unsere besondere Bedienfreundlichkeit, das umfassende Angebot digitaler Bücher sowie unseren kompetenten, persönlichen Service. Damit ist eBook.de sowohl für eBook-Einsteiger als auch für -Profis die erste Adresse für eBooks und eBook-Reader. Deutschlands Spezialist für eBooks macht das digitale Lesen einfach.",+494042236096,http://www.ebook.de,service@ebook.de,Hugendubel Digital GmbH & Co. KG Friesenweg 1 22763 Hamburg Deutschland,"eBook.de, eine Marke der Hugendubel Digital GmbH & Co. KG, zählt seit 1999 zu den füh",de
